5S_rRNA	RF00001	5S ribosomal RNA
snR65	RF01204	Small nucleolar RNA snR65
snR62	RF01205	Small nucleolar RNA snR62
snoR109	RF01206	Small nucleolar RNA snoR109
snR73	RF01207	Small nucleolar RNA snR73
snoR99	RF01208	Small nucleolar RNA snoR99
snR76	RF01209	Small nucleolar RNA snR76
snoU13	RF01210	Small nucleolar RNA U13
SNORD124	RF01211	Small nucleolar RNA SNORD124
sn2524	RF01212	Small nucleolar RNA sn2524
snoR103	RF01213	Small nucleolar RNA snoR103
snR51	RF01214	Small nucleolar RNA snR51
snoR97	RF01215	Small nucleolar RNA snoR97
snR87	RF01216	Small nucleolar RNA snR87
snR41	RF01218	Small nucleolar RNA snR41
snoR100	RF01219	Small nucleolar RNA snoR100
snoR104	RF01220	Small nucleolar RNA snoR104
snoU6-47	RF01221	Small nucleolar RNA U6-47
sn2417	RF01222	Small nucleolar RNA sn2417
snR13	RF01223	Small nucleolar RNA snR13
snoR80	RF01224	Small nucleolar RNA snoR80
ACA64	RF01225	Small nucleolar RNA ACA64
snoZ5	RF01226	Small nucleolar RNA Z5
snoR83	RF01227	Small nucleolar RNA snoR83
snoR111	RF01228	Small nucleolar RNA snoR111
SNORA84	RF01229	Small nucleolar RNA SNORA84
snoR77	RF01230	Small nucleolar RNA snoR77
snoR74	RF01231	Small nucleolar RNA snoR74
snoR442	RF01232	Small nucleolar RNA R442
snoU109	RF01233	Small nucleolar RNA U109
SNORA47	RF01234	Small nucleolar RNA SNORA47
snR68	RF01235	Small nucleolar RNA snR68
snoU19	RF01236	Small nucleolar RNA U19
snR161	RF01237	Small nucleolar RNA snR161
snR70	RF01238	Small nucleolar RNA snR70
snR49	RF01239	Small nucleolar RNA snR49
snR85	RF01240	Small nucleolar RNA snR85
SNORA81	RF01241	Small nucleolar RNA SNORA81
snR36	RF01242	Small nucleolar RNA snR36
snR33	RF01243	Small nucleolar RNA snR33
snR4	RF01244	Small nucleolar RNA snR4
snR9	RF01245	Small nucleolar RNA snR9
snR81	RF01246	Small nucleolar RNA snR81
snR32	RF01247	Small nucleolar RNA snR32
snR8	RF01248	Small nucleolar RNA snR8
snR190	RF01249	Small nucleolar RNA snR190
snR189	RF01250	Small nucleolar RNA snR189
snR3	RF01251	Small nucleolar RNA snR3
snR5	RF01252	Small nucleolar RNA snR5
snR46	RF01253	Small nucleolar RNA snR46
snR34	RF01254	Small nucleolar RNA snR34
snR35	RF01255	Small nucleolar RNA snR35
snR43	RF01256	Small nucleolar RNA snR43
snR31	RF01257	Small nucleolar RNA snR31
snR10	RF01258	Small nucleolar RNA snR10
snR63	RF01259	Small nucleolar RNA snR63
snR11	RF01260	Small nucleolar RNA snR11
snR82	RF01261	Small nucleolar RNA snR82
snR44	RF01262	Small nucleolar RNA snR44
snR191	RF01263	Small nucleolar RNA snR191
snR83	RF01264	Small nucleolar RNA snR83
snR42	RF01265	Small nucleolar RNA snR42
snR45	RF01266	Small nucleolar RNA snR45
snR37	RF01267	Small nucleolar RNA snR37
SCARNA2	RF01268	Small Cajal body-specific RNA 2
snR80	RF01269	Small nucleolar RNA snR80
snR84	RF01270	Small nucleolar RNA snR84
snR30	RF01271	Small nucleolar RNA snR30
snR86	RF01272	Small nucleolar RNA snR86
sR34	RF01273	Small nucleolar RNA sR34
sR45	RF01274	Small nucleolar RNA sR45
sR22	RF01275	Small nucleolar RNA sR22
sR53	RF01276	Small nucleolar RNA sR53
snoU54	RF01277	Small nucleolar RNA U54
SNORD109A	RF01278	Small nucleolar RNA SNORD109A
snoR53Y	RF01279	Small nucleolar RNA snoR53Y
snoR14	RF01280	Small nucleolar RNA snoR14
snoR35	RF01281	Small nucleolar RNA snoR35
snoU30	RF01283	Small nucleolar RNA U30
snoR8a	RF01284	Small nucleolar RNA snoR8a
snoU31b	RF01285	Small nucleolar RNA U31b
snoR26	RF01286	Small nucleolar RNA snoR26
snoR27	RF01287	Small nucleolar RNA snoR27
snoR31	RF01288	Small nucleolar RNA snoR31
snoR17	RF01289	Small nucleolar RNA snoR17
SNORD10	RF01290	Small nucleolar RNA SNORD10
SNORD97	RF01291	Small nucleolar RNA SNORD97
snoR2	RF01292	Small nucleolar RNA snoR2/U65
ACA59	RF01293	Small nucleolar RNA ACA59
snoU89	RF01294	Small nucleolar RNA U89
SCARNA7	RF01295	Small Cajal body-specific RNA 7
snoU85	RF01296	Small nucleolar RNA U85
sR40	RF01297	Small nucleolar RNA sR40
snoU25	RF01298	Small nucleolar RNA U25
SNORD2	RF01299	Small nucleolar RNA SNORD2
snoU49	RF01300	Small nucleolar RNA U49
snoR4a	RF01301	Small nucleolar RNA snoR4a
snoU36a	RF01302	SnoRNA U36a
sR49	RF01303	Small nucleolar RNA sR49
sR5	RF01304	Small nucleolar RNA sR5
sR51	RF01305	Small nucleolar RNA sR51
sR52	RF01306	Small nucleolar RNA sR52
sR55	RF01307	Small nucleolar RNA sR55
sR58	RF01308	Small nucleolar RNA sR58
sR60	RF01309	Small nucleolar RNA sR60
sR7	RF01310	Small nucleolar RNA sR7
sR9	RF01312	Small nucleolar RNA sR9
AHBV_epsilon	RF01313	Avian HBV RNA encapsidation signal epsilon
mir-1227	RF01314	microRNA mir-1227
CRISPR-DR2	RF01315	CRISPR RNA direct repeat element
CRISPR-DR3	RF01316	CRISPR RNA direct repeat element
CRISPR-DR4	RF01317	CRISPR RNA direct repeat element
CRISPR-DR5	RF01318	CRISPR RNA direct repeat element
CRISPR-DR6	RF01319	CRISPR RNA direct repeat element
CRISPR-DR7	RF01320	CRISPR RNA direct repeat element
CRISPR-DR8	RF01321	CRISPR RNA direct repeat element
CRISPR-DR9	RF01322	CRISPR RNA direct repeat element
CRISPR-DR10	RF01323	CRISPR RNA direct repeat element
CRISPR-DR11	RF01324	CRISPR RNA direct repeat element
CRISPR-DR12	RF01325	CRISPR RNA direct repeat element
CRISPR-DR13	RF01326	CRISPR RNA direct repeat element
CRISPR-DR14	RF01327	CRISPR RNA direct repeat element
CRISPR-DR17	RF01328	CRISPR RNA direct repeat element
CRISPR-DR15	RF01329	CRISPR RNA direct repeat element
CRISPR-DR16	RF01330	CRISPR RNA direct repeat element
CRISPR-DR18	RF01331	CRISPR RNA direct repeat element
CRISPR-DR19	RF01332	CRISPR RNA direct repeat element
CRISPR-DR20	RF01333	CRISPR RNA direct repeat element
CRISPR-DR21	RF01334	CRISPR RNA direct repeat element
CRISPR-DR22	RF01335	CRISPR RNA direct repeat element
CRISPR-DR23	RF01336	CRISPR RNA direct repeat element
CRISPR-DR24	RF01337	CRISPR RNA direct repeat element
CRISPR-DR25	RF01338	CRISPR RNA direct repeat element
CRISPR-DR27	RF01339	CRISPR RNA direct repeat element
CRISPR-DR29	RF01340	CRISPR RNA direct repeat element
CRISPR-DR30	RF01341	CRISPR RNA direct repeat element
CRISPR-DR32	RF01342	CRISPR RNA direct repeat element
CRISPR-DR33	RF01343	CRISPR RNA direct repeat element
CRISPR-DR34	RF01344	CRISPR RNA direct repeat element
CRISPR-DR35	RF01345	CRISPR RNA direct repeat element
CRISPR-DR36	RF01346	CRISPR RNA direct repeat element
CRISPR-DR37	RF01347	CRISPR RNA direct repeat element
CRISPR-DR38	RF01348	CRISPR RNA direct repeat element
CRISPR-DR40	RF01349	CRISPR RNA direct repeat element
CRISPR-DR41	RF01350	CRISPR RNA direct repeat element
CRISPR-DR42	RF01351	CRISPR RNA direct repeat element
CRISPR-DR43	RF01352	CRISPR RNA direct repeat element
CRISPR-DR44	RF01353	CRISPR RNA direct repeat element
CRISPR-DR45	RF01354	CRISPR RNA direct repeat element
CRISPR-DR26	RF01355	CRISPR RNA direct repeat element
CRISPR-DR28	RF01356	CRISPR RNA direct repeat element
CRISPR-DR31	RF01357	CRISPR RNA direct repeat element
CRISPR-DR39	RF01358	CRISPR RNA direct repeat element
CRISPR-DR46	RF01359	CRISPR RNA direct repeat element
CRISPR-DR47	RF01360	CRISPR RNA direct repeat element
CRISPR-DR48	RF01361	CRISPR RNA direct repeat element
CRISPR-DR49	RF01362	CRISPR RNA direct repeat element
CRISPR-DR50	RF01363	CRISPR RNA direct repeat element
CRISPR-DR51	RF01364	CRISPR RNA direct repeat element
CRISPR-DR52	RF01365	CRISPR RNA direct repeat element
CRISPR-DR53	RF01366	CRISPR RNA direct repeat element
CRISPR-DR54	RF01367	CRISPR RNA direct repeat element
CRISPR-DR55	RF01368	CRISPR RNA direct repeat element
CRISPR-DR56	RF01369	CRISPR RNA direct repeat element
CRISPR-DR57	RF01370	CRISPR RNA direct repeat element
CRISPR-DR58	RF01371	CRISPR RNA direct repeat element
CRISPR-DR60	RF01373	CRISPR RNA direct repeat element
CRISPR-DR61	RF01374	CRISPR RNA direct repeat element
CRISPR-DR62	RF01375	CRISPR RNA direct repeat element
CRISPR-DR63	RF01376	CRISPR RNA direct repeat element
CRISPR-DR64	RF01377	CRISPR RNA direct repeat element
CRISPR-DR65	RF01378	CRISPR RNA direct repeat element
CRISPR-DR66	RF01379	CRISPR RNA direct repeat element
HIV-1_SD	RF01380	Human immunodeficiency virus type 1 major splice donor
HIV-1_SL3	RF01381	HIV-1 stem-loop 3 Psi packaging signal
HIV-1_SL4	RF01382	HIV-1 stem-loop 4 packaging signal
GRIK4_3p_UTR	RF01383	GRIK4 3 prime UTR element
InvR	RF01384	Invasion gene-associated RNA
isrA	RF01385	isrA Hfq binding RNA
isrB	RF01386	isrB Hfq binding RNA
isrC	RF01387	isrC Hfq binding RNA
isrD	RF01388	isrD Hfq binding RNA
isrF	RF01389	isrF Hfq binding RNA
isrG	RF01390	isrG Hfq binding RNA
isrH	RF01391	isrH Hfq binding RNA
isrI	RF01392	isrI Hfq binding RNA
isrJ	RF01393	isrJ Hfq binding RNA
isrK	RF01394	isrK Hfq binding RNA
isrL	RF01395	isrL Hfq binding RNA
isrN	RF01396	isrN Hfq binding RNA
isrO	RF01397	isrO Hfq binding RNA
isrP	RF01398	isrP Hfq binding RNA
isrQ	RF01399	isrQ Hfq binding RNA
istR	RF01400	istR Hfq binding RNA
rseX	RF01401	rseX Hfq binding RNA
STnc150	RF01402	STnc150 Hfq binding RNA
STnc290	RF01403	STnc290 Hfq binding RNA
PinT	RF01404	PinT (STnc440) Hfq binding RNA
STnc490	RF01405	STnc490 Hfq binding RNA
STnc500	RF01406	STnc500 Hfq binding RNA
STnc560	RF01407	STnc560 Hfq binding RNA
sraL	RF01408	sraL Hfq binding RNA
STnc250	RF01409	STnc250 Hfq binding RNA
BsrC	RF01410	BsrC
BsrF	RF01411	BsrF
BsrG	RF01412	BsrG
miR-430	RF01413	microRNA miR-430
class_I_RNA	RF01414	Class I RNA
Flavivirus_SLIV	RF01415	Flavivirus 3'UTR stem loop IV
NrrF	RF01416	NrrF RNA
RSV_RNA	RF01417	Retroviral 3'UTR stability element
HIV_POL-1_SL	RF01418	HIV pol-1 stem loop
IsrR	RF01419	Antisense RNA which regulates isiA expression
snoR113	RF01420	Small nucleolar RNA snoR113
snoR114	RF01421	small nucleolar RNA snoR114
snoR116	RF01422	small nucleolar RNA snoR116
snoR117	RF01423	small nucleolar RNA snoR117
snoR118	RF01424	small nucleolar RNA snoR118
snoR121	RF01425	small nucleolar RNA snoR121
snoR126	RF01426	small nucleolar RNA snoR126
snoR127	RF01427	small nucleolar RNA snoR127
snoR128	RF01428	small nucleolar RNA snoR128
snoR130	RF01429	small nucleolar RNA snoR130
snoR134	RF01430	small nucleolar RNA snoR134
snoR135	RF01431	small nucleolar RNA snoR135
snoR143	RF01432	small nucleolar RNA snoR143
snoR137	RF01433	small nucleolar RNA snoR137
S_pombe_snR3	RF01434	small nucleolar RNA snR3
S_pombe_snR5	RF01435	small nucleolar RNA snR5
S_pombe_snR33	RF01436	small nucleolar RNA snR33
S_pombe_snR10	RF01437	small nucleolar RNA snR10
S_pombe_snR35	RF01438	small nucleolar RNA snR35
S_pombe_snR36	RF01439	small nucleolar RNA snR36
S_pombe_snR42	RF01440	small nucleolar RNA snR42
S_pombe_snR46	RF01441	small nulceolar RNA snR46
S_pombe_snR90	RF01442	small nucleolar RNA snR90
S_pombe_snR91	RF01443	small nucleolar RNA snR91
S_pombe_snR92	RF01444	small nucleolar RNA snR92
S_pombe_snR94	RF01445	small nucleolar RNA snR94
S_pombe_snR95	RF01446	small nucleolar RNA snR95
S_pombe_snR98	RF01447	small nucleolar RNA snR98
S_pombe_snR93	RF01448	small nucleolar RNA snR93
S_pombe_snR100	RF01449	small nucleolar RNA snR100
S_pombe_snR96	RF01450	small nucleolar RNA snR96
S_pombe_snR97	RF01451	small nucleolar RNA snR97
S_pombe_snR99	RF01452	small nucleolar RNA snR99
RCNMV_TE_DR1	RF01453	3'TE-DR1 translation enhancer element
RCNMV_5UTR	RF01454	5'UTR enhancer element
DPB	RF01455	Stem loopII regulatory element in POLB
VrrA	RF01456	Vibrio regulatory RNA of OmpA
rli22	RF01457	Listeria sRNA rli22
rli23	RF01458	Listeria snRNA rli23
rliE	RF01459	Listeria sRNA rliE
rliH	RF01460	Listeria sRNA rliH
rli24	RF01461	Listeria sRNA rli22
rli26	RF01462	Listeria sRNA rli26
rli27	RF01463	Listeria sRNA rli27
rliA	RF01464	Listeria sRNA rliA
rli31	RF01465	Listeria sRNA rli31
rli34	RF01466	Listeria sRNA rli34
rli36	RF01467	Listeria sRNA rli36
rli32	RF01468	Listeria sRNA rli32
rli33	RF01469	Listeria sRNA rli33
rli38	RF01470	Listeria sRNA rli38
rliB	RF01471	Listeria sRNA rliB
rli40	RF01472	Listeria sRNA rli40
rli41	RF01473	Listeria sRNA rli41
rli42	RF01474	Listeia sRNA rli42
rli45	RF01475	Listeria snRNA rli45
rliF	RF01476	Listeria sRNA rliF
rli43	RF01477	Listeria sRNA rli43
rli47	RF01478	Listeria sRNA rli47
rli48	RF01479	Listeria sRNA rli48
rli52	RF01480	Listeria sRNA rli52
rli53	RF01481	Listeria sRNA rli53
AdoCbl_riboswitch	RF01482	AdoCbl riboswitch
rli56	RF01483	Listeria sRNA rli56
rli59	RF01484	Listeria sRNA rli59
rli61	RF01485	Listeria sRNA rli61
rli62	RF01486	Listeria sRNA rli62
rliI	RF01487	Listeria sRNA rliI
rli49	RF01488	Listeria sRNA rli49
sbrA	RF01489	Listeria sRNA sbrA
rli51	RF01490	Listeria snRNA rli51
rli54	RF01491	Listeria sRNA rli54
rli28	RF01492	Listeria sRNA rli28
rli37	RF01493	Listeria sRNA rli37
rliD	RF01494	Listeria sRNA rliD
ACAT	RF01495	Human acetyl-coA cholesterol acyltransferase mRNA
Afu_182	RF01496	A. fumigatus sRNA Afu_182
ALIL	RF01497	ALIL pseudoknot
Afu_190	RF01498	A. fumigatus snoRNA Afu_190
Afu_191	RF01499	A. fumigatus snoRNA Afu_191
Afu_198	RF01500	A. fumigatus snoRNA Afu_198
Afu_199	RF01501	A. fimigatus snoRNA Afu_199
Fungi_SRP	RF01502	Fungal signal recognition particle RNA
Afu_203	RF01503	A. fumigatus sRNA Afu_203
Afu_254	RF01504	A. fumigatus sRNA Afu_254
Afu_264	RF01505	A. fumigatus snoRNA Afu_264
Afu_294	RF01506	A. fumigatus snoRNA Afu_294
Afu_298	RF01507	A. fimigatus snoRNA Afu_298
BYDV_5_UTR	RF01508	Barley yellow dwarf virus 5'UTR
Afu_300	RF01509	A. fumigatus snoRNA Afu_300
MFR	RF01510	M. florum riboswitch
Afu_304	RF01511	A. fumigatus snoRNA Afu_304
Afu_309	RF01512	A. fumigatus sRNA Afu_309
Afu_335	RF01513	A. fumigatus snoRNA Afu_335
Afu_513	RF01514	A. fumigatus snoRNA Afu_513
Afu_514	RF01515	A. fumigatus snoRNA Afu_514
v-snoRNA-1	RF01516	Human herpesvirus 1 small nucleolar RNA
iscRS	RF01517	iscR stability element
pRNA	RF01518	NoRC associated RNA, pRNA
CC0196	RF01519	Caulobacter sRNA CC0196
CC0734	RF01520	caulobacter sRNA CC0734
CC1840	RF01521	caulobacter sRNA CC1840
TB10Cs1H1	RF01522	Trypanosomatid snoRNA TB10Cs1H1
TB10Cs1H2	RF01523	Trypanosomatid snoRNA TB10Cs1H2
TB10Cs1H3	RF01524	Trypanosomatid snoRNA TB10cs1H3
TB10Cs2H1	RF01525	Trypanosomatid snoRNA TB10Cs2H1
ceN106	RF01526	C. elegans snoRNA ceN106
CrfA	RF01527	Caulobacter sRNA CrfA
CC3513	RF01528	caulobacter sRNA CC3513
CC3552	RF01529	Cauldobacter sRNA CC3552
CC3664	RF01530	Caulobacter sRNA CC3664
TB10Cs3H1	RF01531	Trypanosomatid snoRNA TB10Cs3H1
TB10Cs3H2	RF01532	Trypanosomatid snoRNA TB10Cs3H2
TB10Cs4H3	RF01533	Trypanosomatid snoRNA TB10Cs4H3
TB10Cs4H4	RF01534	Trypanosomatid snoRNA TB10Cs4H4
TB10Cs5H2	RF01535	Trypanosomatid snoRNA TB10Cs5H2
TB10Cs5H3	RF01536	Trypanosomatid snoRNA TB10Cs5H3
TB11Cs2H1	RF01537	Trypanosomatid snoRNA TB11Cs2H1
TB11Cs3H1	RF01538	Trypanosomatid snoRNA TB11Cs3H1
TB11Cs4H1	RF01539	Trypanosomatid snoRNA TB11Cs4H1
TB11Cs4H2	RF01540	Trypanosomatid snoRNA TB11Cs4H2
TB11Cs4H3	RF01541	Trypanosomatid snoRNA TB11Cs4H3
TB11Cs5H1	RF01542	Trypanosomatid snoRNA TB11Cs5H1
TB11Cs5H2	RF01543	Trypanosomatid snoRNA TB11Cs5H2
TB11Cs5H3	RF01544	Trypanosomatid snoRNA TB11Cs5H3
TB3Cs2H1	RF01545	Trypanosomatid snoRNA TB3Cs2H1
TB6Cs1H1	RF01546	Trypanosomatid snoRNA TB6Cs1H1
TB6Cs1H3	RF01547	Trypanosomatid snoRNA TB6Cs1H3
TB6Cs1H4	RF01548	Trypanosomatid snoRNA TB6Cs1H4
TB8Cs2H1	RF01549	Trypanosomatid snoRNA TB8Cs2H1
TB8Cs3H1	RF01550	Trypanosomatid snoRNA TB8Cs3H1
TB8Cs4H2	RF01551	Trypanosomatid snoRNA TB8Cs4H2
TB9Cs1H2	RF01552	Trypanosomatid snoRNA TB9Cs1H2
TB9Cs1H3	RF01553	Trypanosomatid snoRNA TB9Cs1H3
TB9Cs2H1	RF01554	Trypanosomatid snoRNA TB9Cs2H1
TB9Cs3H1	RF01555	Trypanosomatid snoRNA TB9Cs3H1
TB9Cs3H2	RF01556	Trypanosomatid snoRNA TB9Cs3H2
TB9Cs4H1	RF01557	Trypanosomatid snoRNA TB9Cs4H1
TB9Cs4H2	RF01558	Trypanosomatid snoRNA TB9Cs4H2
DdR1	RF01559	Dictyostelium snoRNA DdR1
DdR10	RF01560	Dictyostelium snoRNA DdR10
DdR11	RF01561	Dictyostelium snoRNA DdR11
DdR12	RF01562	D. discoideum snoRNA DdR12
DdR13	RF01563	Dictyostelium snoRNA DdR13
DdR14	RF01564	D. discoideum snoRNA DdR14
DdR15	RF01565	Dictyostelium snoRNA DdR15
DdR16	RF01566	Dictyostelium snoRNA DdR16
DdR17	RF01567	D. discoideum snoRNA DdR17
DdR18	RF01568	Dictyostelium snoRNA DdR18
DdR2	RF01569	Dictyostelium snoRNA DdR2
Dictyostelium_SRP	RF01570	Dictyostelium signal recognition particle
DdR35	RF01571	D. discoideum class II sRNA
DdR4	RF01572	Dictyostelium snoRNA DdR4
DdR5	RF01573	Dictyostelium snoRNA DdR5
DdR6	RF01574	Dictyostelium snoRNA DdR6
DdR7	RF01575	Dictyostelium snoRNA Dd7
DdR8	RF01576	D. discoideum snoRNA DdR8
RNase_P	RF01577	Plasmodium RNase_P
RUF1	RF01578	Plasmodium RNA of unkown function RUF1
RUF2	RF01579	Plasmodium RNA of unknown function RUF2
RUF3	RF01580	Plasmodium RNA of unkown function RU6-F3
RUF6-5	RF01581	Plasmodium RNA of unknown function RUF6-5
RUF4	RF01582	RNA of unknown function RUF4
snoR01	RF01583	small nucleolar RNA snoR01
snoR03	RF01584	small nucleolar RNA snoR03
snoR07	RF01585	small nucleolar RNA snoR07
snoR09	RF01586	small nucleolar RNA snoR09
snoR10	RF01587	small nucleolar RNA snoR10
snoR13	RF01588	small nucleolar RNA snoR13
plasmodium_snoR11	RF01589	small nucleolar RNA snoR11
plasmodium_snoR14	RF01590	small nucleolar RNA snoR14
snoR15	RF01591	small nucleolar RNA snoR15
plasmodium_snoR17	RF01592	small nucleolar RNA snoR17
plasmodium_snoR16	RF01593	small nucleolar RNA snoR16
snoR18	RF01594	small nucleolar RNA snoR18
snoR19	RF01595	small nucleolar RNA snoR19
plasmodium_snoR20	RF01596	small nucleolar RNA snoR20
snoR22	RF01597	small nucleolar RNA snoR22
snoR23	RF01598	small nucleolar RNA snoR23
plasmodium_snoR24	RF01599	small nucleolar RNA snoR24
snoR25	RF01600	small nucleolar RNA snoR25
plasmodium_snoR26	RF01601	small nucleolar RNA snoR26
plasmodium_snoR27	RF01602	small nucleolar RNA snoR27
snoR29	RF01603	small nucleolar RNA snoR29
plasmodium_snoR28	RF01604	small nucleolar RNA snoR28
plasmodium_snoR30	RF01605	small nucleolar RNA snoR30
plasmodium_snoR31	RF01606	small nucleolar RNA snoR31
ceN100	RF01607	C. elegans snoRNA ceN100
ceN102	RF01608	Caenorhabditis snoRNA ceN80
ceN103	RF01609	Caenorhabditis snoRNA ceN103
ceN104	RF01610	Caenorhabditis snoRNA ceN104
ceN108	RF01611	Caenorhabditis snoRNA ceN108
ceN105	RF01612	Nematode snoRNA ceN105
ceN109	RF01613	Nematode snoRNA ceN109
ceN110	RF01614	Caenorhabditis snoRNA ceN110
ceN111	RF01615	Nematode snoRNA ceN111
ceN113	RF01617	Caenorhabditis snoRNA ceN113
ceN114	RF01618	Nematode snoRNA ceN114
ceN115	RF01619	C. elegans sRNA ceN115
ceN125	RF01620	Nematode snoRNA ceN125
ceN126	RF01621	Caenorhabditis snoRNA ceN126
ceN22	RF01622	Nematode snoRNA ceN22
ceN23-1	RF01623	Caenorhabditis sRNA ceN23-1
ceN27	RF01624	Nematode snoRNA ceN27
ceN28	RF01625	Caenorhabditis snoRNA ceN28
ceN30	RF01626	Caenorhabditis snoRNA ceN30
ceN36-1	RF01627	Nematode snoRNA ceN36-1
ceN38	RF01628	Caenorhabditis snoRNA ceN38
ceN39	RF01629	Nematode snoRNA ceN39
ceN40	RF01630	Nematode snoRNA ceN40
ceN41	RF01631	Caenorhabditis snoRNA ceN41
ceN42	RF01632	Caenorhabditis snoRNA ceN42
ceN43	RF01633	Caenorhabditis snoRNA ceN43
ceN44	RF01634	Caenorhabditis snoRNA ceN44
ceN45	RF01635	Caenorhabditis snoRNA ceN45
ceN46	RF01636	Caenorhabditis snoRNA ceN46
ceN47	RF01637	Nematode snoRNA ceN47
ceN48	RF01638	Caenorhabditis snoRNA ceN48
ceN49	RF01639	Caenorhabditis snoRNA ceN49
ceN51	RF01640	Caenorhabditis snoRNA ceN51
ceN53	RF01641	Caenorhabditis snoRNA ceN53
ceN54	RF01642	Caenorhabditis snoRNA ceN54
ceN56	RF01643	Caenorhabditis sRNA ceN56
ceN59	RF01644	Caenorhabditis snoRNA ceN59
ceN58	RF01645	Nematode snoRNA ceN58
ceN63	RF01646	Caenorhabditis snoRNA ceN63
ceN61	RF01647	Caenorhabditis snoRNA ceN61
ceN65	RF01648	Caenorhabditis snoRNA ceN65
ceN67	RF01649	Caenorhabditis snoRNA ceN67
ceN68	RF01650	Caenorhabditis snoRNA ceN48
ceN69	RF01651	Caenorhabditis snoRNA ceN69
ceN70	RF01652	Caenorhabditis snoRNA ceN70
ceN80	RF01653	Caenorhabditis snoRNA ceN80
ceN82	RF01654	Caenorhabditis snoRNA ceN82
ceN84	RF01655	Caenorhabditis snoRNA ceN84
ceN72-3_ceN74-2	RF01656	Nematode sRNA ceN72-3_ceN74-2
ceN81	RF01658	Caenorhabditis snoRNA ceN81
ceN86	RF01659	Caenorhabditis snoRNA ceN86
ceN88	RF01660	Nematode snoRNA ceN88
ceN92	RF01661	Caenorhabditis snoRNA ceN92
ceN89	RF01662	Caenorhabditis snoRNA ceN89
ceN93	RF01663	Caenorhabditis sRNA ceN93
ceN101	RF01664	Caenorhabditis snoRNA ceN101
P13	RF01665	Pseudomonas sRNA P13
rox2	RF01666	Drosophila rox2 ncRNA
rox1	RF01667	Drosophila rox1 ncRNA
P10	RF01668	Pseudomonas sRNA P10
P14	RF01669	Pseudomonas sRNA P14
P17	RF01670	Pseudomonas sRNA P17
P18	RF01671	Pseudomonas sRNA P18
P2	RF01672	Psudomonas sRNA P2
PhrS	RF01673	PhrS
P27	RF01674	Pseudomonas sRNA P27
CrcZ	RF01675	Pseudomonas sRNA CrcZ
P31	RF01676	Pseudomonas sRNA P31
P35	RF01677	Pseudomonas sRNA P35
P37	RF01678	Pseudomonas sRNA P37
P36	RF01679	Pseudomonas sRNA P36
P5	RF01680	Pseudomonas sRNA P5
P4	RF01681	Pseudomonas sRNA P4
P8	RF01682	Pseudomonas sRNA P8
P6	RF01683	Pseudomonas sRNA P6
mascRNA-menRNA	RF01684	MALAT1-associated small cytoplasmic RNA/MEN beta RNA
6S-Flavo	RF01685	6S-Flavo RNA
Acido-1	RF01686	Acido-1 RNA
Acido-Lenti-1	RF01687	Acido-Lenti-1 RNA
Actino-pnp	RF01688	Actino-pnp RNA
AdoCbl-variant	RF01689	AdoCbl variant RNA
Bacillaceae-1	RF01690	Bacillaceae-1 RNA
Bacillus-plasmid	RF01691	Bacillus-plasmid RNA
Bacteroid-trp	RF01692	Bacteroidete tryptophan peptide leader RNA
Bacteroidales-1	RF01693	Bacteroidales-1 RNA
Bacteroides-1	RF01694	Bacteroides-1 RNA
C4	RF01695	C4 antisense RNA
Chlorobi-1	RF01696	Chlorobi-1 RNA
Chlorobi-RRM	RF01697	Chlorobi-RRM RNA
Chloroflexi-1	RF01698	Chloroflexi-1 RNA
Clostridiales-1	RF01699	Clostridiales-1 RNA
Collinsella-1	RF01700	Collinsella-1 RNA
Cyano-1	RF01701	Cyano-1 RNA
Cyano-2	RF01702	Cyano-2 RNA
Dictyoglomi-1	RF01703	Dictyoglomi-1 RNA
Downstream-peptide	RF01704	Downstream peptide RNA
Flavo-1	RF01705	Flavo-1 RNA
Gut-1	RF01706	Gut-1 RNA
JUMPstart	RF01707	JUMPstart RNA
L17DE	RF01708	L17 ribosomal protein downstream element
Lacto-rpoB	RF01709	Lacto-rpoB RNA
Lacto-usp	RF01710	Lacto-usp RNA
Lnt	RF01711	Lnt RNA
Methylobacterium-1	RF01712	Methylobacterium-1 RNA
Moco-II	RF01713	Moco-II RNA
Ocean-V	RF01714	Ocean-V RNA
Pedo-repair	RF01715	Pedo-repair RNA
PhotoRC-I	RF01716	PhotoRC-I RNA
PhotoRC-II	RF01717	PhotoRC-II RNA
Polynucleobacter-1	RF01718	Polynucleobacter-1 RNA
Pseudomon-1	RF01719	Pseudomon-1/ErsA RNA
Pseudomon-Rho	RF01720	Pseudomon-Rho RNA
Pseudomon-groES	RF01721	Pseudomon-groES RNA
Pyrobac-1	RF01722	Pyrobac-1 RNA
Rhizobiales-2	RF01723	Rhizobiales-2 RNA
SAM-Chlorobi	RF01724	SAM-Chlorobi RNA
SAM-I-IV-variant	RF01725	SAM-I/IV variant riboswitch
SAM-II_long_loops	RF01726	SAM-II long loop
SAM-SAH	RF01727	SAM/SAH riboswitch
STAXI	RF01728	STAXI RNA
Termite-flg	RF01729	Termite-flg RNA
Termite-leu	RF01730	Termite-leu RNA
TwoAYGGAY	RF01731	TwoAYGGAY RNA
asd	RF01732	MarS sRNA
atoC	RF01733	atoC RNA
Fluoride	RF01734	Fluoride riboswitch
epsC	RF01735	epsC RNA
